               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075425,            0.062098,            0.077279,            0.045357,             0.26968,            0.056784,            0.027292,            0.047119,            0.032599,            0.073433,            0.070155,           0.0033161,           0.0033161
                   1,            0.053096,            0.044702,            0.073039,             0.15782,             0.35408,            0.079594,            0.036255,            0.045736,            0.028586,            0.071295,            0.039936,             0.00643,             0.00643
                   2,            0.047152,            0.041726,             0.07162,              0.1765,             0.36384,             0.10975,            0.055668,            0.038779,            0.026993,            0.069775,           0.0094966,           0.0093239,           0.0093239
                   3,            0.040712,            0.038307,            0.067791,             0.46131,             0.30827,             0.22471,             0.11156,            0.037531,            0.027476,            0.062255,             0.00901,             0.00901,             0.00901
                   4,            0.037445,            0.038139,            0.058176,             0.53813,              0.4928,             0.38076,             0.23536,            0.027875,            0.023395,            0.048757,             0.00901,             0.00901,             0.00901
                   5,            0.034601,            0.036235,            0.048681,             0.42778,             0.58096,             0.41376,             0.26404,            0.026071,            0.023193,            0.042233,             0.00868,             0.00868,             0.00868
                   6,            0.033019,            0.036255,            0.044091,             0.45301,             0.61593,             0.48268,             0.31243,            0.026821,            0.022854,             0.03871,             0.00835,             0.00835,             0.00835
                   7,            0.032294,            0.034769,            0.040171,             0.57013,             0.63077,             0.58968,             0.37543,            0.025519,             0.02188,            0.034483,             0.00802,             0.00802,             0.00802
                   8,            0.031236,             0.03425,            0.034756,             0.79411,             0.56742,             0.62996,             0.42614,            0.024408,            0.021543,            0.030479,             0.00769,             0.00769,             0.00769
                   9,            0.030391,            0.033903,            0.031891,             0.59806,             0.67591,             0.67354,             0.46112,            0.024613,            0.021624,            0.028859,             0.00736,             0.00736,             0.00736
                  10,            0.029618,            0.032974,            0.028506,             0.81521,             0.64213,             0.72208,             0.48521,            0.024835,            0.022202,            0.025157,             0.00703,             0.00703,             0.00703
                  11,            0.028904,            0.033311,            0.025857,             0.74153,             0.62348,             0.69038,             0.46663,            0.026178,            0.024131,            0.029925,              0.0067,              0.0067,              0.0067
                  12,            0.028411,            0.032929,            0.023636,             0.71268,              0.7665,             0.79792,             0.57722,            0.021587,            0.020649,            0.021025,             0.00637,             0.00637,             0.00637
                  13,            0.027983,            0.032534,             0.02205,             0.71093,              0.8085,              0.8002,             0.58215,            0.021885,            0.021311,            0.021099,             0.00604,             0.00604,             0.00604
                  14,            0.027257,            0.032119,            0.020226,              0.7526,             0.84383,             0.86591,             0.63587,            0.021453,            0.020532,            0.017771,             0.00571,             0.00571,             0.00571
                  15,            0.026767,            0.032102,            0.017948,              0.7806,             0.88159,             0.89202,             0.65108,            0.021446,            0.020586,            0.015061,             0.00538,             0.00538,             0.00538
                  16,            0.026612,            0.031759,            0.017231,             0.80245,             0.87349,             0.90681,             0.65608,            0.021781,            0.020347,            0.014256,             0.00505,             0.00505,             0.00505
                  17,            0.025915,            0.030973,            0.015851,             0.82883,             0.88356,             0.92316,             0.68303,             0.02072,            0.020642,            0.013626,             0.00472,             0.00472,             0.00472
                  18,            0.025639,            0.030392,               0.015,             0.87543,             0.89733,             0.94746,             0.71232,            0.020401,            0.020139,            0.011598,             0.00439,             0.00439,             0.00439
                  19,            0.024743,            0.030223,            0.013194,             0.88075,             0.89244,             0.94086,             0.69835,             0.02008,            0.019564,            0.010529,             0.00406,             0.00406,             0.00406
                  20,            0.024552,            0.030921,            0.012291,             0.91729,             0.91932,             0.96557,             0.73065,            0.019562,             0.01967,           0.0090485,             0.00373,             0.00373,             0.00373
                  21,            0.023926,            0.029884,            0.010994,             0.92739,             0.92812,             0.96909,             0.74019,            0.019263,            0.019546,           0.0081317,              0.0034,              0.0034,              0.0034
                  22,             0.02357,            0.030692,            0.010113,             0.94201,             0.92956,             0.97126,             0.74776,            0.018836,            0.019511,           0.0076494,             0.00307,             0.00307,             0.00307
                  23,            0.022957,            0.029411,            0.009379,              0.9454,             0.93554,             0.97493,             0.75283,            0.018831,            0.019373,           0.0068355,             0.00274,             0.00274,             0.00274
                  24,            0.022567,            0.029288,           0.0086308,             0.95164,             0.93991,             0.97597,             0.75681,            0.018694,            0.019358,            0.006649,             0.00241,             0.00241,             0.00241
                  25,            0.022341,            0.028529,           0.0080331,             0.95599,             0.93905,             0.97795,             0.76075,            0.018368,            0.019379,           0.0060495,             0.00208,             0.00208,             0.00208
                  26,              0.0218,            0.029229,           0.0076816,             0.96152,             0.94154,             0.97959,             0.76835,            0.018123,             0.01919,           0.0060518,             0.00175,             0.00175,             0.00175
                  27,            0.021113,             0.02826,           0.0070477,             0.95562,             0.94662,             0.97827,             0.76712,            0.018111,            0.019094,           0.0057503,             0.00142,             0.00142,             0.00142
                  28,            0.020709,             0.02838,           0.0072082,             0.96065,             0.95727,             0.98289,             0.77527,            0.017806,            0.018933,           0.0049399,             0.00109,             0.00109,             0.00109
                  29,            0.020398,            0.028031,           0.0064856,             0.96237,             0.96027,              0.9829,             0.77771,            0.017729,            0.018843,           0.0046135,             0.00076,             0.00076,             0.00076
